description,price,rating,review_count,url
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-6-32-9642/dp/B084TH1LCZ/ref=sr_1_32?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-32
womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Womens-Outdoor-Sandals-4-34-9382/dp/B084TJJJGT/ref=sr_1_33?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-33
Womens Fashion Sandals,,,,https://www.amazon.in/Mochi-33-8429-Women-Brown-Velvet/dp/B08FBKLWHB/ref=sr_1_34?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-34
Women Chikoo Synthetic Sandals (33-853-22-42) Size (9 UK (42 EU)) Brown,,,,https://www.amazon.in/Mochi-Chikoo-Synthetic-Sandals-33-853-22-42/dp/B08L5KLXY1/ref=sr_1_35?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-35
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Maroon-Synthetic-Sandals-35-3855-44-38/dp/B07ZS5NX7J/ref=sr_1_36?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-36
Women Synthetic Sandals (33-1243),,,,https://www.amazon.in/Mochi-Synthetic-Fashion-Sandals-33-1243-11-38/dp/B08QN7GGVT/ref=sr_1_37?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-37
Women Black Synthetic Sandals (32-22),,,,https://www.amazon.in/Mochi-Synthetic-Sandals-32-22-28-38-Antic-Euro38/dp/B08DR83HMS/ref=sr_1_38?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-38
Girl's Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-2-35-3403/dp/B08L5LJL5Z/ref=sr_1_39?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-39
Women Synthetic Fashion Sandals,,,,https://www.amazon.in/Mochi-Antique-Synthetic-Sandals-40-2335-28-39/dp/B08X2P9NJL/ref=sr_1_40?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-40
Womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-4-35-3209/dp/B084TJW83X/ref=sr_1_41?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-41
womens Footwear,,,,https://www.amazon.in/Mochi-Leather-Outdoor-Sandals-5-44-945/dp/B081ZYJ6K6/ref=sr_1_42?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-42
Womens Mules,,,,https://www.amazon.in/Mochi-CHIKOO-Synthetic-Sandals-35-3113-22-37-CHIKOO/dp/B084TJ6P8X/ref=sr_1_43?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-43
womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Womens-Outdoor-Sandals-6-34-9727/dp/B083NR1B56/ref=sr_1_44?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-44
